,summary,Winter,Energie,Politik,Gesundheit,word
ministerpräsidentin giorgia,2.024459960669115,-0.08794154464693091,0.01824935550831465,0.024252216649958126,0.08814734297251518,ministerpräsidentin giorgia
befassen,2.0128745621654036,-0.0822023965837801,0.013074744516694397,0.02999136471310887,0.0938864910356658,befassen
meloni befass,2.0128745621654036,-0.0822023965837801,0.013074744516694397,0.02999136471310887,0.0938864910356658,meloni befass
+534,1.996058780298812,-0.07381319224797159,0.00540806104980369,0.038380569048917505,0.10227569537147436,+534
sie +534,1.996058780298812,-0.07381319224797159,0.00540806104980369,0.038380569048917505,0.10227569537147436,sie +534
+534 chars,1.9932068562432823,-0.07238339298102826,0.004089060392223795,0.039810368315860656,0.10370549463841751,+534 chars
stream gaspreisdeckel,3.2443710151371916,-0.5595600651059863,0.30881002213772735,-0.44736630380909714,-0.38347117748654025,stream gaspreisdeckel
gaspreisdeckel atomkraft,2.4551573729237037,-0.2808294279606979,0.16434672236733575,-0.16863566666380872,-0.10474054034125187,gaspreisdeckel atomkraft
atomkraft was,2.324411926342327,-0.22610563788417817,0.1277470149621794,-0.11391187658728914,-0.05001675026473226,atomkraft was
was komm,2.2927182336726966,-0.21237668098534385,0.11802325847718129,-0.10018291968845468,-0.03628779336589767,was komm
wichtigsten,3.5883434734575546,-0.6603292337480859,-0.032713883078555134,0.7826803158281772,-0.4842403461286401,wichtigsten
die wichtig,2.1655928934423025,-0.15533274349213688,0.07504568681048572,-0.043138982195247616,0.020756144127309136,die wichtig
Energiefragen,2.13275531540016,-0.14005328482368107,0.06277643984615605,-0.027859523526791923,0.036035602795764905,Energiefragen
wichtig energiefrage,2.13275531540016,-0.14005328482368107,0.06277643984615605,-0.027859523526791923,0.036035602795764905,wichtig energiefrage
Woche,6.7112925983840075,-1.286430135789277,0.41362864894311097,-1.1742363744923878,0.1685540918780667,Woche
energiefrage woche,2.0959743343472335,-0.12265708706529466,0.04838683627050161,-0.010463325768405432,0.05343180055415146,energiefrage woche
woche energiekrise,2.0754457364553494,-0.11281450910808548,0.04003937842147731,-0.0006207478111965008,0.06327437851136039,woche energiekrise
energiekrise geb,2.058367945325055,-0.10455197499190147,0.03291331029244126,0.007641786304987517,0.07153691262754452,energiekrise geb
täglich,2.8650806747639215,-0.4352350742459291,-0.12460855900835625,0.7754123083625988,-0.25914618662648303,täglich
geb täglich,2.049182689771567,-0.10007959148166344,0.029009974908435165,0.012114169815225756,0.07600929613778265,geb täglich
täglich neu,2.040822765444478,-0.09599160868509475,0.025413365095499074,0.01620215261179423,0.08009727893435127,täglich neu
Wendungen,2.0359639801591336,-0.09360797280269043,0.023303432468511864,0.018585788494198535,0.08248091481675558,Wendungen
neu wendung,2.0359639801591336,-0.09360797280269043,0.023303432468511864,0.018585788494198535,0.08248091481675558,neu wendung
wendung denen,2.020416267640254,-0.08594212901701867,0.01645301936971982,0.026251632279870426,0.09014675860242735,wendung denen
kaum,12.891961583185118,0.1558447376771869,0.1418323145267976,-0.8752914464386282,-0.552331369482207,kaum
denen kaum,2.0128745621654036,-0.0822023965837801,0.013074744516694397,0.02999136471310887,0.0938864910356658,denen kaum
herkommt,2.0093500645776743,-0.0804498845702238,0.011483315766144314,0.03174387672666529,0.0956390030492223,herkommt
kaum herkomm,2.0093500645776743,-0.0804498845702238,0.011483315766144314,0.03174387672666529,0.0956390030492223,kaum herkomm
beantworten,4.644870320027749,-0.062195752686808284,-0.21363696064786566,0.3111219832565326,0.5372997531959042,beantworten
hier beantwort,3.6967652476606347,0.16610952112835928,-0.17311020984307032,-0.5779029843232086,0.7656050270110718,hier beantwort
fünf,4.261247134521369,0.1296791668366298,0.1458712279156057,-0.720006676467423,-0.656111550144866,fünf
beantwort fünf,1.9904598520649408,-0.07100425922567935,0.0028133569874803773,0.041189502071209604,0.10508462839376669,beantwort fünf
fünf frage,1.987811472948812,-0.06967283696158919,0.0015785676315143698,0.04252092433529967,0.10641605065785673,fünf frage
frage wirklich,1.978550737192518,-0.06500319153153124,-0.002777334696006944,0.0471905697653579,0.11108569608791477,frage wirklich
wirklich ankomm,1.9745558887335273,-0.06298207234760739,-0.004674900799222434,0.04921168894928183,0.1131068152718386,wirklich ankomm
Wofür,1.9707810912707904,-0.0610685229429774,-0.006478345102242102,0.051125238353911626,0.11502036467646855,Wofür
wofür früher,1.966437992207553,-0.05886234607919601,-0.008565923982776537,0.053331415217692975,0.1172265415402499,wofür früher
früher kaum,1.9638158746858232,-0.057528021122298434,-0.00983287962479738,0.05466574017459047,0.11856086649714752,früher kaum
interessiert,2.5720320909514727,-0.327334849084134,0.19296580229491886,-0.215141087787245,-0.15124596146468794,interessiert
kaum interessier,1.9598983564675576,-0.05553117869739361,-0.011735075018452404,0.05666258259949538,0.12055770892205228,kaum interessier
interessier heute,1.9527230780863352,-0.05186341449120922,-0.015248403623063473,0.06033034680567981,0.1242254731282367,interessier heute
Munde,1.9482698519645352,-0.04958028907361364,-0.01744818704702705,0.0626134722232753,0.12650859854583232,Munde
heute mund,1.9482698519645352,-0.04958028907361364,-0.01744818704702705,0.0626134722232753,0.12650859854583232,heute mund
mund energieversorgung,1.9452021386395217,-0.04800446473624369,-0.018972255734253443,0.0641892965606454,0.12808442288320232,mund energieversorgung
Unternehmerinnen,1.9402543167290909,-0.04545762132583226,-0.021445472658994758,0.06673613997105675,0.13063126629361368,Unternehmerinnen
